agent_id,property_id,assignment_type,assigned_on
AGT-001,LHR-DHA-APT-001,Primary,2026-08-28
AGT-001,LHR-DHA-APT-002,Primary,2026-08-28
AGT-002,LHR-DHA-APT-003,Primary,2026-08-28
AGT-002,LHR-DHA-APT-005,Primary,2026-08-28
AGT-003,LHR-BHR-APT-001,Primary,2026-08-28
AGT-003,LHR-BHR-APT-002,Primary,2026-08-28
AGT-003,LHR-BHR-HSE-001,Primary,2026-08-28
AGT-004,LHR-GUL-APT-001,Primary,2026-08-28
AGT-004,LHR-GUL-APT-002,Primary,2026-08-28
AGT-004,LHR-GUL-COM-001,Primary,2026-08-28
AGT-005,LHR-MOD-APT-001,Primary,2026-08-28
AGT-006,ISB-F11-APT-001,Primary,2026-08-28
AGT-006,ISB-F11-APT-002,Primary,2026-08-28
AGT-007,ISB-DHA-APT-001,Primary,2026-08-28
AGT-007,ISB-DHA-PLT-001,Primary,2026-08-28
AGT-008,ISB-B17-APT-001,Primary,2026-08-28
AGT-008,ISB-B17-HSE-001,Primary,2026-08-28
AGT-008,ISB-B17-PLT-001,Primary,2026-08-28
AGT-009,ISB-GHAURI-HSE-001,Primary,2026-08-28
AGT-010,ISB-E11-APT-001,Primary,2026-08-28
AGT-010,ISB-F10-APT-001,Primary,2026-08-28
AGT-011,ISB-BLUE-COM-001,Primary,2026-08-28
AGT-012,KHI-CLIF-APT-001,Primary,2026-08-28
AGT-012,KHI-CLIF-APT-002,Primary,2026-08-28
AGT-013,KHI-DHA-APT-001,Primary,2026-08-28
AGT-013,KHI-DHA-APT-002,Primary,2026-08-28
AGT-013,KHI-DHA-HSE-001,Primary,2026-08-28
AGT-013,KHI-DHA-HSE-002,Primary,2026-08-28
AGT-014,KHI-GUL-APT-001,Primary,2026-08-28
AGT-014,KHI-GUL-APT-002,Primary,2026-08-28
AGT-015,KHI-BHR-PLT-001,Primary,2026-08-28
AGT-015,KHI-BHR-APT-001,Primary,2026-08-28
AGT-016,KHI-SADDAR-COM-001,Primary,2026-08-28
