hospital_id,hospital_name,area_id,type,distance_km,emergency_24_7
H001,Hameed Latif Hospital,A001,Private,2.5,Yes
H002,Doctors Hospital DHA,A001,Private,3.0,Yes
H003,Bahria International Hospital,A002,Private,2.0,Yes
H004,Hussain Chowk Clinic,A003,Clinic,1.0,No
H005,South City Hospital,A004,Private,4.0,Yes
H006,Fauji Foundation Hospital,A005,Private,2.2,Yes
H007,Aga Khan Hospital,A006,Private,5.0,Yes
H008,Model Town Hospital,A007,Private,1.5,Yes
H009,Shaukat Khanum Hospital,A008,Private,6.0,Yes
H010,Shifa International Hospital,A009,Private,7.0,Yes
H011,PIMS Hospital,A014,Government,5.5,Yes
