match_key,match_date,season,team_home,team_away,venue,match_result_3way,margin,form_win_rate_last3_home,form_win_rate_last5_home,form_win_rate_last10_home,avg_score_last3_home,avg_score_last5_home,avg_score_last10_home,avg_conceded_last3_home,avg_conceded_last5_home,avg_conceded_last10_home,win_streak_home,h2h_win_rate_prior_home,h2h_games_played_prior_home,venue_win_rate_prior_home,rest_days_home,season_win_rate_prior_home,ladder_rank_prior_home,is_interstate_home,is_neutral_venue_home,form_win_rate_last3_away,form_win_rate_last5_away,form_win_rate_last10_away,avg_score_last3_away,avg_score_last5_away,avg_score_last10_away,avg_conceded_last3_away,avg_conceded_last5_away,avg_conceded_last10_away,win_streak_away,h2h_win_rate_prior_away,h2h_games_played_prior_away,venue_win_rate_prior_away,rest_days_away,season_win_rate_prior_away,ladder_rank_prior_away,is_interstate_away,is_neutral_venue_away
1983_1.0_melbourne demons_vs_collingwood magpies_1983-03-26,1983-03-26,1983,melbourne demons,collingwood magpies,Melbourne Cricket Ground,AWAY_WIN,-10,,,,,,,,,,0.0,,0.0,0.5833333333333334,,,,0,False,,,,,,,,,,0.0,,0.0,0.5225563909774437,,,,0,False
1983_1.0_carlton blues_vs_richmond tigers_1983-03-26,1983-03-26,1983,carlton blues,richmond tigers,Princes Park,HOME_WIN,60,,,,,,,,,,0.0,,0.0,0.6460176991150443,,,,0,False,,,,,,,,,,0.0,,0.0,0.0,,,,0,False
1983_1.0_fitzroy lions_vs_hawthorn hawks_1983-03-26,1983-03-26,1983,fitzroy lions,hawthorn hawks,Junction Oval,AWAY_WIN,-19,,,,,,,,,,0.0,,0.0,0.6666666666666666,,,,0,False,,,,,,,,,,0.0,,0.0,,,,,0,False
1983_1.0_north melbourne kangaroos_vs_st kilda saints_1983-03-26,1983-03-26,1983,north melbourne kangaroos,st kilda saints,Aegis Park,HOME_WIN,13,,,,,,,,,,0.0,,0.0,0.7,,,,0,False,,,,,,,,,,0.0,,0.0,,,,,0,False
1983_1.0_geelong cats_vs_western bulldogs_1983-03-26,1983-03-26,1983,geelong cats,western bulldogs,Waverley Park,HOME_WIN,31,,,,,,,,,,0.0,,0.0,0.4444444444444444,,,,0,False,,,,,,,,,,0.0,,0.0,0.4,,,,0,False
1983_1.0_sydney swans_vs_essendon bombers_1983-03-27,1983-03-27,1983,sydney swans,essendon bombers,Sydney Cricket Ground,HOME_WIN,1,,,,,,,,,,0.0,,0.0,0.6082474226804123,,,,0,False,,,,,,,,,,0.0,,0.0,,,,,1,False
1983_2.0_richmond tigers_vs_melbourne demons_1983-04-02,1983-04-02,1983,richmond tigers,melbourne demons,Melbourne Cricket Ground,AWAY_WIN,-19,0.0,0.0,0.0,76.0,76.0,76.0,136.0,136.0,136.0,0.0,,0.0,0.4900662251655629,7.0,0.0,7.0,0,False,0.0,0.0,0.0,125.0,125.0,125.0,135.0,135.0,135.0,0.0,,0.0,0.4682080924855491,7.0,0.0,7.0,0,False
1983_2.0_collingwood magpies_vs_geelong cats_1983-04-02,1983-04-02,1983,collingwood magpies,geelong cats,Victoria Park,AWAY_WIN,-5,1.0,1.0,1.0,135.0,135.0,135.0,125.0,125.0,125.0,1.0,,0.0,0.78125,7.0,1.0,1.0,0,False,1.0,1.0,1.0,106.0,106.0,106.0,75.0,75.0,75.0,1.0,,0.0,,7.0,1.0,1.0,0,False
1983_2.0_western bulldogs_vs_carlton blues_1983-04-02,1983-04-02,1983,western bulldogs,carlton blues,Western Oval,HOME_WIN,17,0.0,0.0,0.0,75.0,75.0,75.0,106.0,106.0,106.0,0.0,,0.0,0.9166666666666666,7.0,0.0,7.0,0,False,1.0,1.0,1.0,136.0,136.0,136.0,76.0,76.0,76.0,1.0,,0.0,,7.0,1.0,1.0,0,False
1983_2.0_essendon bombers_vs_st kilda saints_1983-04-04,1983-04-04,1983,essendon bombers,st kilda saints,Windy Hill,HOME_WIN,61,0.0,0.0,0.0,110.0,110.0,110.0,111.0,111.0,111.0,0.0,,0.0,0.7608695652173914,8.0,0.0,9.0,0,False,0.0,0.0,0.0,87.0,87.0,87.0,100.0,100.0,100.0,0.0,,0.0,,9.0,0.0,9.0,0,False
