property_id,name,location_id,area,city,property_type,bedrooms,bathrooms,plot_size,plot_unit,covered_area,covered_area_unit,available,status,developer_id,purpose
LHR-DHA-APT-001,Horizon Heights Apartment,LOC-LHR-DHA6,DHA Phase 6,Lahore,Apartment,2,2,NA,NA,1250,sqft,Yes,Ready,DEV-001,Purchase
LHR-DHA-APT-002,Horizon Heights Apartment,LOC-LHR-DHA6,DHA Phase 6,Lahore,Apartment,3,3,NA,NA,1650,sqft,Yes,Ready,DEV-001,Purchase
LHR-DHA-APT-003,Park View Residences,LOC-LHR-DHA8,DHA Phase 8,Lahore,Apartment,2,2,NA,NA,1180,sqft,Yes,Ready,DEV-002,Purchase
LHR-DHA-APT-004,Park View Residences,LOC-LHR-DHA8,DHA Phase 8,Lahore,Apartment,3,3,NA,NA,1580,sqft,No,Under Construction,DEV-002,Purchase
LHR-GUL-APT-001,Gulberg Central Residences,LOC-LHR-GUL3,Gulberg III,Lahore,Apartment,2,2,NA,NA,1200,sqft,Yes,Ready,DEV-003,Purchase
LHR-GUL-APT-002,Gulberg Central Residences,LOC-LHR-GUL3,Gulberg III,Lahore,Apartment,3,3,NA,NA,1750,sqft,Yes,Ready,DEV-003,Purchase
LHR-BHR-APT-001,Bahria Grand Apartments,LOC-LHR-BHR,Bahria Town,Lahore,Apartment,2,2,NA,NA,1100,sqft,Yes,Ready,DEV-004,Purchase
LHR-BHR-APT-002,Bahria Grand Apartments,LOC-LHR-BHR,Bahria Town,Lahore,Apartment,3,3,NA,NA,1550,sqft,Yes,Ready,DEV-004,Purchase
LHR-BHR-HSE-001,Bahria Family Villa,LOC-LHR-BHR,Bahria Town,Lahore,House,5,5,10,Marla,3200,sqft,Yes,Ready,DEV-004,Purchase
LHR-BHR-HSE-002,Bahria Family House,LOC-LHR-BHR,Bahria Town,Lahore,House,4,4,8,Marla,2600,sqft,Yes,Ready,DEV-004,Purchase
LHR-DHA-HSE-001,DHA Family House,LOC-LHR-DHA6,DHA Phase 6,Lahore,House,4,4,10,Marla,3000,sqft,Yes,Ready,DEV-005,Purchase
LHR-DHA-HSE-002,DHA Executive House,LOC-LHR-DHA5,DHA Phase 5,Lahore,House,5,6,12,Marla,3800,sqft,No,Ready,DEV-005,Purchase
LHR-MOD-APT-001,Model Town Residency,LOC-LHR-MODEL,Model Town,Lahore,Apartment,3,2,NA,NA,1450,sqft,Yes,Ready,DEV-006,Rental
LHR-DHA-APT-005,DHA Executive Rental,LOC-LHR-DHA6,DHA Phase 6,Lahore,Apartment,3,3,NA,NA,1600,sqft,Yes,Ready,DEV-007,Rental
LHR-DHA-APT-006,DHA Compact Rental,LOC-LHR-DHA5,DHA Phase 5,Lahore,Apartment,2,2,NA,NA,1050,sqft,Yes,Ready,DEV-007,Rental
LHR-BHR-APT-003,Bahria Furnished Apartment,LOC-LHR-BHR,Bahria Town,Lahore,Apartment,2,2,NA,NA,1150,sqft,Yes,Ready,DEV-004,Rental
ISB-F11-APT-001,Capital View Residences,LOC-ISB-F11,F-11,Islamabad,Apartment,2,2,NA,NA,1350,sqft,Yes,Ready,DEV-008,Purchase
ISB-F11-APT-002,Capital View Residences,LOC-ISB-F11,F-11,Islamabad,Apartment,3,3,NA,NA,1850,sqft,Yes,Ready,DEV-008,Purchase
