property_id,list_price_pkr,price_per_marla_or_sqft,last_price_update,negotiable,advance_percent,monthly_rent_pkr
P001,45000000,45000000,2026-06-01,Yes,20,
P002,32000000,3200000,2026-05-15,Yes,15,
P003,,,,No,,65000
P004,18000000,9000000,2026-07-01,Yes,30,
P005,,,,No,,85000
P006,55000000,4583333,2026-06-20,Yes,10,
P007,120000000,6000000,2026-03-01,No,,
P008,,,,No,,45000
P009,25000000,2500000,2026-07-10,Yes,25,
P010,180000000,45000000,2026-05-01,Yes,20,
P011,,,,No,,95000
P012,,,,No,,150000
P013,28000000,3500000,2026-06-15,Yes,20,
P014,42000000,4200000,2026-07-20,Yes,25,
P015,,,,No,,110000
