query,expected,predicted,correct,reasoning
Who will win the Pies vs Cats?,prediction,prediction,True,The user is asking for a future outcome (who will win a specific upcoming match).
Will Collingwood beat Geelong?,prediction,prediction,True,"The user is asking whether Collingwood will beat Geelong in a future match, which is a request for a future outcome prediction."
Who will be Collingwood's top player next match?,prediction,prediction,True,"The user is asking who will be the top player for Collingwood in an upcoming match, which is a request for a future outcome."
Predict the top player for Richmond.,prediction,prediction,True,"The user is asking to predict a future outcome (the top player for Richmond), which matches the prediction category."
How many disposals did Collingwood have last round?,retrieval,retrieval,True,"The user is asking for a specific historical statistic (the number of disposals Collingwood had in the last round), which falls under the retrieval category."
What were Richmond's last five results?,retrieval,retrieval,True,"The user is asking for recent historical data about Richmond's last five results, which falls under the retrieval category."
What was Geelong's recent form?,retrieval,retrieval,True,"The user is asking about Geelong's recent form, which requires historical or recent performance data."
Give me the head-to-head record between Richmond and Carlton.,retrieval,retrieval,True,"The user is requesting historical head-to-head statistics between two AFL teams, which falls under the retrieval category."
What is a mark in AFL?,factual,factual,True,"The user is asking for a definition of a term in AFL, which is a request for general AFL knowledge."
How does AFL scoring work?,factual,factual,True,"The user is asking for a general explanation of AFL scoring, which is non‑numeric, non‑predictive, and pertains to AFL rules."
How does the AFL finals system work?,factual,factual,True,"The user asks about the AFL finals system, which is a general explanation of competition structure, not a prediction or data retrieval."
What is a behind?,factual,factual,True,"The user asks for a definition of an AFL term, which is a request for general AFL knowledge."
What's the weather today?,off_topic,off_topic,True,"The user is asking about the weather, which is unrelated to AFL."
Write a Python script for me.,off_topic,off_topic,True,"The user request is for a Python script, which is unrelated to AFL."
Who won the last soccer World Cup?,off_topic,off_topic,True,"The question is about soccer, which is unrelated to AFL."
Can you help me with my database homework?,off_topic,off_topic,True,"The request is about database homework, which is unrelated to AFL."
What is 25 times 4?,off_topic,off_topic,True,"The question asks for a multiplication result, which is unrelated to AFL."
Tell me a joke.,off_topic,off_topic,True,"The request is for a joke, which is unrelated to AFL."
