property_id,gated_community,parking,gym,swimming_pool,park_nearby,mosque_nearby,generator_backup,solar_panels,servant_quarter,lift
P001,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P002,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No
P003,No,Yes,No,No,Yes,Yes,No,No,No,Yes
P004,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes
P005,Yes,Yes,No,No,Yes,Yes,No,No,No,No
P006,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
P007,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P008,No,Yes,No,No,Yes,Yes,No,No,No,Yes
P009,Yes,No,No,No,No,No,No,No,No,No
P010,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P011,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
P012,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes
P013,No,Yes,No,No,Yes,Yes,No,No,Yes,No
P014,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
P015,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No
