property_id,plan_name,summary,notes,status
LHR-DHA-APT-001,Standard Purchase Plan,"30% booking, remaining 70% according to company schedule","Current installment schedule must be confirmed with sales","Verified"
LHR-DHA-APT-002,Premium Installment Plan,"25% booking, remaining amount through scheduled installments","Installment schedule subject to company approval","Verified"
LHR-DHA-APT-003,Park View Purchase Plan,"30% booking, remaining amount according to developer schedule","Terms subject to project status","Verified"
LHR-GUL-APT-001,Gulberg Purchase Plan,"35% booking, remaining balance according to company schedule","Current terms must be confirmed before commitment","Verified"
LHR-GUL-APT-002,Gulberg Premium Plan,"25% booking, remaining balance through scheduled installments","Installment availability subject to approval","Verified"
LHR-BHR-APT-001,Bahria Apartment Plan,"25% booking, remaining amount according to published plan","Current terms must be confirmed before commitment","Verified"
LHR-BHR-APT-002,Bahria Apartment Installment Plan,"30% booking, remaining balance through scheduled installments","Schedule may vary according to project policy","Verified"
LHR-BHR-HSE-001,Bahria Villa Purchase Plan,"30% booking, remaining amount according to company schedule","Final payment schedule must be confirmed with sales","Verified"
LHR-BHR-HSE-002,Bahria House Purchase Plan,"25% booking, remaining amount through scheduled installments","Subject to developer approval","Verified"
LHR-DHA-HSE-001,DHA House Purchase Plan,"35% booking, remaining balance according to company schedule","Current terms must be confirmed with sales","Verified"
LHR-DHA-HSE-002,DHA Executive Plan,"30% booking, remaining amount according to developer schedule","Terms subject to property availability","Verified"
ISB-F11-APT-001,Capital View Purchase Plan,"30% booking, remaining 70% according to company schedule","Current installment schedule must be confirmed","Verified"
ISB-F11-APT-002,Capital View Premium Plan,"25% booking, remaining balance through scheduled installments","Subject to developer approval","Verified"
ISB-DHA-APT-001,DHA Islamabad Plan,"30% booking, remaining amount according to published schedule","Current terms must be confirmed before commitment","Verified"
ISB-DHA-APT-002,DHA Construction Plan,"20% booking, remaining amount through construction-linked installments","Schedule may change with project progress","Verified"
ISB-B17-APT-001,B17 Apartment Plan,"25% booking, remaining balance according to developer schedule","Installment terms subject to approval","Verified"
ISB-B17-HSE-001,B17 House Purchase Plan,"30% booking, remaining amount through scheduled installments","Current payment schedule must be confirmed","Verified"
ISB-GHAURI-HSE-001,Ghauri Town House Plan,"25% booking, remaining balance according to company schedule","Subject to developer approval","Verified"
ISB-B17-PLT-001,B17 Plot Purchase Plan,"30% booking, remaining balance according to scheduled installments","Plot payment schedule must be confirmed","Verified"
ISB-DHA-PLT-001,DHA Plot Purchase Plan,"35% booking, remaining balance according to company schedule","Current terms must be confirmed with sales","Verified"
KHI-CLIF-APT-001,Clifton Apartment Plan,"30% booking, remaining amount according to company schedule","Current installment schedule must be confirmed","Verified"
KHI-CLIF-APT-002,Clifton Premium Plan,"25% booking, remaining balance through scheduled installments","Subject to developer approval","Verified"
KHI-DHA-APT-001,DHA Karachi Plan,"30% booking, remaining amount according to published schedule","Current terms must be confirmed before commitment","Verified"
KHI-DHA-APT-002,DHA Construction Plan,"20% booking, remaining amount through construction-linked installments","Schedule may change with project progress","Verified"
KHI-DHA-HSE-001,DHA Karachi House Plan,"30% booking, remaining balance according to company schedule","Current terms must be confirmed with sales","Verified"
KHI-DHA-HSE-002,DHA Luxury House Plan,"25% booking, remaining amount through scheduled installments","Subject to developer approval","Verified"
KHI-GUL-APT-001,Gulshan Apartment Plan,"30% booking, remaining amount according to company schedule","Current terms must be confirmed","Verified"
KHI-BHR-PLT-001,Bahria Karachi Plot Plan,"25% booking, remaining balance according to developer schedule","Current terms must be confirmed before commitment","Verified"
LHR-GUL-COM-001,Gulberg Commercial Plan,"35% booking, remaining amount according to company schedule","Commercial payment schedule must be confirmed","Verified"
ISB-BLUE-COM-001,Blue Area Commercial Plan,"30% booking, remaining balance through scheduled installments","Current commercial terms must be confirmed","Verified"
KHI-SADDAR-COM-001,Saddar Commercial Plan,"25% booking, remaining amount according to company schedule","Commercial payment schedule must be confirmed","Verified"
