property_id,price,currency,transaction_type,price_period,verified_on,verification_status
LHR-DHA-APT-001,28500000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-DHA-APT-002,36000000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-DHA-APT-003,24000000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-DHA-APT-004,32000000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-GUL-APT-001,26500000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-GUL-APT-002,38500000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-BHR-APT-001,22000000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-BHR-APT-002,30500000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-BHR-HSE-001,52000000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-BHR-HSE-002,43000000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-DHA-HSE-001,68000000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-DHA-HSE-002,85000000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-MOD-APT-001,125000,PKR,Rental,Monthly,2026-08-26,Verified
LHR-DHA-APT-005,150000,PKR,Rental,Monthly,2026-08-26,Verified
LHR-DHA-APT-006,110000,PKR,Rental,Monthly,2026-08-26,Verified
LHR-BHR-APT-003,135000,PKR,Rental,Monthly,2026-08-26,Verified
ISB-F11-APT-001,26000000,PKR,Purchase,One-time,2026-08-26,Verified
ISB-F11-APT-002,39000000,PKR,Purchase,One-time,2026-08-26,Verified
ISB-DHA-APT-001,28000000,PKR,Purchase,One-time,2026-08-26,Verified
ISB-DHA-APT-002,41000000,PKR,Purchase,One-time,2026-08-26,Verified
ISB-B17-APT-001,18500000,PKR,Purchase,One-time,2026-08-26,Verified
ISB-B17-HSE-001,45000000,PKR,Purchase,One-time,2026-08-26,Verified
ISB-GHAURI-HSE-001,42000000,PKR,Purchase,One-time,2026-08-26,Verified
ISB-E11-APT-001,145000,PKR,Rental,Monthly,2026-08-26,Verified
ISB-F10-APT-001,120000,PKR,Rental,Monthly,2026-08-26,Verified
ISB-B17-PLT-001,14000000,PKR,Purchase,One-time,2026-08-26,Verified
ISB-DHA-PLT-001,18000000,PKR,Purchase,One-time,2026-08-26,Verified
KHI-CLIF-APT-001,32000000,PKR,Purchase,One-time,2026-08-26,Verified
KHI-CLIF-APT-002,48000000,PKR,Purchase,One-time,2026-08-26,Verified
KHI-DHA-APT-001,35000000,PKR,Purchase,One-time,2026-08-26,Verified
KHI-DHA-APT-002,52000000,PKR,Purchase,One-time,2026-08-26,Verified
KHI-DHA-HSE-001,65000000,PKR,Purchase,One-time,2026-08-26,Verified
KHI-DHA-HSE-002,95000000,PKR,Purchase,One-time,2026-08-26,Verified
KHI-GUL-APT-001,21000000,PKR,Purchase,One-time,2026-08-26,Verified
KHI-GUL-APT-002,105000,PKR,Rental,Monthly,2026-08-26,Verified
KHI-BHR-PLT-001,12500000,PKR,Purchase,One-time,2026-08-26,Verified
KHI-BHR-APT-001,95000,PKR,Rental,Monthly,2026-08-26,Verified
LHR-GUL-COM-001,45000000,PKR,Purchase,One-time,2026-08-26,Verified
LHR-DHA-COM-001,280000,PKR,Rental,Monthly,2026-08-26,Verified
ISB-BLUE-COM-001,65000000,PKR,Purchase,One-time,2026-08-26,Verified
KHI-SADDAR-COM-001,42000000,PKR,Purchase,One-time,2026-08-26,Verified
