question_id,question,route,passed,reason,answer,top_sources
Q01,How can I search for a property?,rag,True,Grounded answer matched required behavior,"You can search for properties based on your budget, preferred location, property type, number of bedrooms, purpose, and current availability. Sara uses verified company property records to find suitable options.",real_estate_faq.md
Q02,Can I book a property visit?,rag,True,Grounded answer matched required behavior,"Yes. Once you select a property, Sara can help schedule a visit by confirming your preferred date and time and checking available appointment slots.",real_estate_faq.md | real_estate_faq.md
Q03,Can I reschedule my property visit?,rag,True,Grounded answer matched required behavior,Yes. Sara can help reschedule an existing property visit. A new date and time will be confirmed only after checking calendar availability.,real_estate_faq.md | real_estate_faq.md | real_estate_faq.md
Q04,Can I cancel a scheduled property visit?,rag,True,Grounded answer matched required behavior,Yes. Sara can identify your existing appointment and process the cancellation through the appointment management system.,real_estate_faq.md | real_estate_faq.md | real_estate_faq.md
Q05,Are property prices final?,rag,True,Grounded answer matched required behavior,"Property prices are based on the latest verified company records available at the time of your inquiry. However, prices may change, so the final price should always be confirmed before making a transaction.",real_estate_faq.md
Q06,Are investment returns guaranteed?,rag,True,Grounded answer matched required behavior,"No. Investment returns cannot be guaranteed. Sara can provide verified project information to help you understand available opportunities, but future returns depend on market conditions and other factors.",real_estate_faq.md
Q07,What happens if a property is no longer available?,rag,True,Grounded answer matched required behavior,"If a property is no longer available, Sara will not recommend it as an available option. Instead, she can help you find other suitable properties based on your requirements.",real_estate_faq.md | real_estate_faq.md
Q08,What happens if some property information is unavailable?,rag,True,Grounded answer matched required behavior,"If a required property detail is not available in the verified company records, Sara will not guess or provide unconfirmed information. She will let you know that the information is currently unavailable and can be verified through the relevant team.",real_estate_faq.md | real_estate_faq.md
Q09,Tell me about Horizon Heights Apartment.,rag,True,Grounded answer matched required behavior,"Horizon Heights Apartment is a named residential project in the verified company inventory. This brochure provides semantic project context and a project-level description. For current unit-level facts such as price, availability, bedrooms, bathrooms, covered area, amenities, developer information, payment plans, and nearby schools or hospitals, please refer to the structured company source.",horizon_heights_apartment.md
Q10,Give me an overview of Park View Residences.,rag,True,Grounded answer matched required behavior,"Park View Residences is a named residential project in the verified property database. This description is intended for semantic project context only. For specific details such as price, availability, bedrooms, bathrooms, covered area, amenities, developer information, payment plans, and nearby schools or hospitals, Sara must refer to the structured property database.",park_view_residences.md
Q11,Tell me about Bahria Grand Apartments.,rag,True,Grounded answer matched required behavior,"Bahria Grand Apartments is a named residential project in the verified company inventory. This document serves as a semantic project context. For specific details such as price, availability, bedrooms, bathrooms, covered area, amenities, developer information, payment plans, and nearby schools or hospitals, Sara must refer to the structured company source.",bahria_grand_apartments.md
Q12,What is the price of Horizon Heights Apartment?,structured,True,Expected safe refusal,Verified information is currently unavailable.,
Q13,Is Bahria Grand Apartments available?,structured,True,Expected safe refusal,Verified information is currently unavailable.,
Q14,How many bedrooms does Park View Residences have?,structured,True,Expected safe refusal,Verified information is currently unavailable.,
Q15,What amenities does Horizon Heights Apartment have?,structured,True,Expected safe refusal,Verified information is currently unavailable.,
Q16,Who is the developer of Park View Residences?,structured,True,Expected safe refusal,Verified information is currently unavailable.,
Q17,What payment plan is available for LHR-DHA-APT-001?,structured,True,Expected safe refusal,Verified information is currently unavailable.,
Q18,What is the nearest hospital to LHR-DHA-APT-001?,structured,True,Expected safe refusal,Verified information is currently unavailable.,
Q19,What is the price of Moonlight Towers?,structured,True,Expected safe refusal,Verified information is currently unavailable.,
Q20,Explain quantum chromodynamics.,rag,True,Expected safe refusal,Verified information is currently unavailable.,
