school_id,school_name,area_id,type,distance_km,rating
S001,Beaconhouse DHA Campus,A001,O/A Levels,1.2,4.7
S002,LGS Phase 6,A001,O/A Levels,2.0,4.6
S003,Roots Millennium Bahria,A002,O/A Levels,1.5,4.5
S004,City School Gulberg,A003,Matric/O Levels,0.8,4.3
S005,Karachi Grammar Annex,A004,O/A Levels,3.0,4.6
S006,Bahria College Rawalpindi,A005,Matric,1.0,4.2
S007,Foundation Public School Clifton,A006,O/A Levels,1.1,4.5
S008,Aitchison Junior Model Town,A007,O/A Levels,1.8,4.8
S009,LGS Johar Town,A008,Matric/O Levels,1.3,4.4
S010,Islamabad Model College E-11,A014,Matric/FSc,0.9,4.1
