school_id,name,area,city,type,distance_km,reference_property
SCH-001,DHA School Campus,DHA Phase 6,Lahore,School,1.2,LHR-DHA-APT-001
SCH-002,DHA Education Centre,DHA Phase 5,Lahore,School,1.5,LHR-DHA-APT-003
SCH-003,Bahria School Campus,Bahria Town,Lahore,School,0.8,LHR-BHR-APT-001
SCH-004,Model Town Public School,Model Town,Lahore,School,1.0,LHR-MOD-APT-001
SCH-005,Gulberg International School,Gulberg III,Lahore,School,1.3,LHR-GUL-APT-001
SCH-006,F-11 Education Academy,F-11,Islamabad,School,1.1,ISB-F11-APT-001
SCH-007,Capital Grammar School,F-10,Islamabad,School,1.4,ISB-F10-APT-001
SCH-008,B-17 Community School,B-17,Islamabad,School,0.9,ISB-B17-APT-001
SCH-009,DHA Islamabad School,DHA Phase 2,Islamabad,School,1.2,ISB-DHA-APT-001
SCH-010,Ghauri Town School,Ghauri Town,Islamabad,School,1.0,ISB-GHAURI-HSE-001
SCH-011,Blue Area Education Centre,Blue Area,Islamabad,School,1.8,ISB-BLUE-COM-001
SCH-012,Clifton International School,Clifton,Karachi,School,1.0,KHI-CLIF-APT-001
SCH-013,DHA Karachi School,DHA Phase 8,Karachi,School,1.3,KHI-DHA-APT-001
SCH-014,DHA Phase 6 School,DHA Phase 6,Karachi,School,1.1,KHI-DHA-HSE-001
SCH-015,Gulshan Education Academy,Gulshan-e-Iqbal,Karachi,School,0.9,KHI-GUL-APT-001
SCH-016,Bahria Town School,Bahria Town,Karachi,School,1.2,KHI-BHR-APT-001
SCH-017,Saddar Public School,Saddar,Karachi,School,1.5,KHI-SADDAR-COM-001
