area_id,area_name,city,latitude,longitude,category,distance_to_airport_km,distance_to_city_center_km,security_rating
A001,DHA Phase 6,Lahore,31.4697,74.4139,Posh,18,12,High
A002,Bahria Town Sector C,Lahore,31.3705,74.1830,Posh,25,20,High
A003,Gulberg III,Lahore,31.5099,74.3436,Commercial-Residential,15,6,High
A004,DHA Phase 8,Karachi,24.8138,67.0700,Commercial,10,14,High
A005,Bahria Town Phase 4,Rawalpindi,33.5451,73.1348,Posh,20,15,Medium
A006,Clifton Block 2,Karachi,24.8138,67.0299,Posh,8,10,High
A007,Model Town,Lahore,31.4805,74.3247,Posh,20,8,High
A008,Johar Town,Lahore,31.4697,74.2728,Residential,22,10,Medium
A009,DHA Phase 2,Islamabad,33.5155,73.1650,Posh,12,15,High
A010,Bahria Enclave,Islamabad,33.6255,73.1436,Posh,25,20,High
A011,Gulshan-e-Iqbal Block 5,Karachi,24.9200,67.0940,Residential,18,12,Medium
A012,PECHS Block 6,Karachi,24.8720,67.0580,Commercial,14,9,High
A013,Faisal Town,Lahore,31.4770,74.2960,Residential,20,9,Medium
A014,E-11,Islamabad,33.6900,72.9700,Posh,14,10,High
A015,Askari 10,Lahore,31.4200,74.2400,Posh,26,16,High
